k = 0
E = -19.4408614974123
site	densite
12 -0.0497351790211415
13 -0.0511324224832644
14 -0.0497351790211415
15 -0.0511324224832644
16 -0.0497351790211415
17 -0.0511324224832644
E = -17.6850807824096
site	densite
0 -0.041593091846493
1 -0.0436971395936932
2 -0.041593091846493
3 -0.0436971395936932
4 -0.041593091846493
5 -0.0436971395936932
6 -0.041593091846493
7 -0.0436971395936932
8 -0.041593091846493
9 -0.0436971395936932
10 -0.041593091846493
11 -0.0436971395936932
12 -0.041593091846493
13 -0.0436971395936932
14 -0.041593091846493
15 -0.0436971395936932
16 -0.041593091846493
17 -0.0436971395936932
E = -17.3948014194395
site	densite
0 -0.0270359682274608
1 -0.0286194924578558
2 -0.0270359682274608
3 -0.0286194924578558
4 -0.0270359682274608
5 -0.0286194924578558
6 -0.0270359682274608
7 -0.0286194924578558
8 -0.0270359682274608
9 -0.0286194924578558
10 -0.0270359682274608
11 -0.0286194924578558
12 -0.0270359682274608
13 -0.0286194924578558
14 -0.0270359682274608
15 -0.0286194924578558
16 -0.0270359682274608
17 -0.0286194924578558
E = -17.143262967958
site	densite
0 -0.1153973273911
1 -0.117347223152805
2 -0.1153973273911
3 -0.117347223152805
4 -0.1153973273911
5 -0.117347223152805
6 -0.1153973273911
7 -0.117347223152805
8 -0.1153973273911
9 -0.117347223152805
10 -0.1153973273911
11 -0.117347223152805
12 -0.1153973273911
13 -0.117347223152805
14 -0.1153973273911
15 -0.117347223152805
16 -0.1153973273911
17 -0.117347223152805
E = -17.1019340582081
site	densite
0 0.0342128196564722
1 0.0339940977713936
2 0.0342128196564722
3 0.0339940977713936
4 0.0342128196564722
5 0.0339940977713936
6 0.0342128196564722
7 0.0339940977713936
8 0.0342128196564722
9 0.0339940977713936
10 0.0342128196564722
11 0.0339940977713936
12 0.0342128196564722
13 0.0339940977713936
14 0.0342128196564722
15 0.0339940977713936
16 0.0342128196564722
17 0.0339940977713936
E = -16.8662911322905
site	densite
0 0.146876276534728
1 0.148321527036952
2 0.146876276534728
3 0.148321527036952
4 0.146876276534728
5 0.148321527036952
6 0.146876276534728
7 0.148321527036952
8 0.146876276534728
9 0.148321527036952
10 0.146876276534728
11 0.148321527036952
12 0.146876276534728
13 0.148321527036952
14 0.146876276534728
15 0.148321527036952
16 0.146876276534728
17 0.148321527036952
E = -16.8417672748412
site	densite
0 -0.0412083983273223
1 -0.0438594516661954
2 -0.0412083983273223
3 -0.0438594516661954
4 -0.0412083983273223
5 -0.0438594516661954
6 -0.0412083983273223
7 -0.0438594516661954
8 -0.0412083983273223
9 -0.0438594516661954
10 -0.0412083983273223
11 -0.0438594516661954
12 -0.0412083983273223
13 -0.0438594516661954
14 -0.0412083983273223
15 -0.0438594516661954
16 -0.0412083983273223
17 -0.0438594516661954
k = 3
E = -19.4336434706988
site	densite
0 0.330615380628139
1 0.330615380628139
2 0.330615380628139
3 0.330615380628139
4 0.330615380628139
5 0.330615380628139
6 0.330615380628139
7 0.330615380628139
8 0.330615380628139
9 0.330615380628139
10 0.330615380628139
11 0.330615380628139
12 0.330615380628139
13 0.330615380628139
14 0.330615380628139
15 0.330615380628139
16 0.330615380628139
17 0.330615380628139
E = -18.8522772432223
site	densite
0 0.111025591481094
1 0.111025591481094
2 0.111025591481094
3 0.111025591481094
4 0.111025591481094
5 0.111025591481094
6 0.111025591481094
7 0.111025591481094
8 0.111025591481094
9 0.111025591481094
10 0.111025591481094
11 0.111025591481094
12 0.111025591481094
13 0.111025591481094
14 0.111025591481094
15 0.111025591481094
16 0.111025591481094
17 0.111025591481094
E = -18.3548191073957
site	densite
0 -0.00159413309445587
1 -0.00159413309445587
2 -0.00159413309445587
3 -0.00159413309445587
4 -0.00159413309445587
5 -0.00159413309445587
6 -0.00159413309445587
7 -0.00159413309445587
8 -0.00159413309445587
9 -0.00159413309445587
10 -0.00159413309445587
11 -0.00159413309445587
12 -0.00159413309445587
13 -0.00159413309445587
14 -0.00159413309445587
15 -0.00159413309445587
16 -0.00159413309445587
17 -0.00159413309445587
E = -17.9663283979001
site	densite
0 -0.039753700444409
1 -0.039753700444409
2 -0.039753700444409
3 -0.039753700444409
4 -0.039753700444409
5 -0.039753700444409
6 -0.039753700444409
7 -0.039753700444409
8 -0.039753700444409
9 -0.039753700444409
10 -0.039753700444409
11 -0.039753700444409
12 -0.039753700444409
13 -0.039753700444409
14 -0.039753700444409
15 -0.039753700444409
16 -0.039753700444409
17 -0.039753700444409
E = -17.6667052902698
site	densite
0 -0.03860707188966
1 -0.03860707188966
2 -0.03860707188966
3 -0.03860707188966
4 -0.03860707188966
5 -0.03860707188966
6 -0.03860707188966
7 -0.03860707188966
8 -0.03860707188966
9 -0.03860707188966
10 -0.03860707188966
11 -0.03860707188966
12 -0.03860707188966
13 -0.03860707188966
14 -0.03860707188966
15 -0.03860707188966
16 -0.03860707188966
17 -0.03860707188966
E = -17.3791484294306
site	densite
0 -0.0274436469320228
1 -0.0274436469320228
2 -0.0274436469320228
3 -0.0274436469320228
4 -0.0274436469320228
5 -0.0274436469320228
6 -0.0274436469320228
7 -0.0274436469320228
8 -0.0274436469320228
9 -0.0274436469320228
10 -0.0274436469320228
11 -0.0274436469320228
12 -0.0274436469320228
13 -0.0274436469320228
14 -0.0274436469320228
15 -0.0274436469320228
16 -0.0274436469320228
17 -0.0274436469320228
E = -17.1228267706951
site	densite
0 -0.102492221806604
1 -0.102492221806604
2 -0.102492221806604
3 -0.102492221806604
4 -0.102492221806604
5 -0.102492221806604
6 -0.102492221806604
7 -0.102492221806604
8 -0.102492221806604
9 -0.102492221806604
10 -0.102492221806604
11 -0.102492221806604
12 -0.102492221806604
13 -0.102492221806604
14 -0.102492221806604
15 -0.102492221806604
16 -0.102492221806604
17 -0.102492221806604
E = -17.083239068906
site	densite
0 0.0024976496411193
1 0.0024976496411193
2 0.0024976496411193
3 0.0024976496411193
4 0.0024976496411193
5 0.0024976496411193
6 0.0024976496411193
7 0.0024976496411193
8 0.0024976496411193
9 0.0024976496411193
10 0.0024976496411193
11 0.0024976496411193
12 0.0024976496411193
13 0.0024976496411193
14 0.0024976496411193
15 0.0024976496411193
16 0.0024976496411193
17 0.0024976496411193
E = -16.8523930473346
site	densite
